Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Spain's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Spain (%)	
"Norway"	1752614	226774	0.4	5	16	39	0.5	3	3470	0.06		
"Slovakia"	1581577	-576551	0.4	7	22	38	0.5	4	2664	0.07		
"South Africa"	1541504	185845	0.4	2	14	41	0.4	-1	9230	0.07		
"Finland"	1505991	130935	0.4	7	24	44	0.4	3	2842	0.07		
"Colombia"	1303167	581683	0.3	1	53	51	0.3	4	8915	0.13		
"Gibraltar"	1202406	1190663	0.3	-9	30	114	0.03	-5	2572	0.09		
"Andorra"	1095570	1061563	0.3	3	-9	166	0	2	610	0.52		
"Argentina"	1083780	-1391143	0.3	-11	40	50	0.3	-5	10631	0.1		
"Hong Kong, China"	951138	517148	0.2	-6	15	5	3.3	3	2841	0.22		
"Tunisia"	925028	228301	0.2	-3	20	78	0.10	-1	3411	0.06		
"Bulgaria"	903505	-69053	0.2	-19	24	57	0.2	6	2237	0.05		
"Philippines"	829482	403154	0.2	11	63	34	0.6	2	4354	0.09		
"Taipei, Chinese"	825135	-1145068	0.2	11	14	17	1.7	8	5007	0.1		
"Ukraine"	806369	-1024186	0.2	15	39	48	0.3	7	3255	0.06		
"Peru"	801460	-874720	0.2	-8	30	54	0.2	3	10420	0.13		
"Cuba"	744539	623299	0.2	-11	10	145	0.02	-13	7148	0.09		
"Singapore"	736370	149521	0.2	-2	-6	16	1.9	3	5773	0.07		
"Slovenia"	711287	144107	0.2	-2	24	55	0.2	10	2404	0.07		
"Dominican Republic"	704936	589702	0.2	2	26	67	0.1	5	6446	0.22		
"Thailand"	651945	-891153	0.2	-4	14	23	1.2	2	4905	0.09		
"Croatia"	638549	478794	0.2	5	35	63	0.2	6	1362	0.07		
"Ecuador"	587824	-166415	0.2	-3	37	69	0.1	3	9174	0.12		
"Viet Nam"	546006	-2770044	0.1	3	8	19	1.5	8	3535	0.19		
"Lithuania"	545824	15915	0.1	4	23	59	0.2	7	1630	0.07		
"Serbia"	529005	138089	0.1	12	40	65	0.2	9	2497	0.06		
"Nigeria"	498960	-6193748	0.1	10	44	53	0.2	17	7792	0.1		
"Kuwait"	469861	405889	0.1	-3	31	76	0.1	-3	5837	0.07		
"Malaysia"	467869	-1217856	0.1	-14	29	25	1.1	3	5172	0.09		
"Indonesia"	462055	-2448530	0.1	-4	16	30	0.9	2	5872	0.11		
"Malta"	447129	386149	0.1	-1	0	120	0.03	1	3249	0.08		
"Luxembourg"	439469	-77983	0.1	12	-7	71	0.1	3	1488	0.14		
"Pakistan"	425317	-747769	0.1	5	111	47	0.3	2	4850	0.11		
"Qatar"	412549	-345013	0.1	-4	-1	70	0.1	0	5745	0.06		
"Senegal"	393804	207432	0.1	0	1	110	0.04	4	6632	0.05		
