Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Luxembourg's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Luxembourg (%)	
"Macao, China"	1564	-254	0		41	81	0.09	15		0.17		
"Libya, State of"	1535	1535	0		199	89	0.07	12	3475	0.08		
"Papua New Guinea"	1517	1459	0		4497	143	0.02	-1	4973	0.17		
"Honduras"	1458	1192	0		265	99	0.05	4	6104	0.16		
"Liberia"	1443	1443	0		1144	87	0.07	17	11608	0.19		
"Macedonia, North"	1429	-3642	0		29	103	0.05	8	1348	0.09		
"Costa Rica"	1381	-3220	0		17	86	0.08	3	6987	0.22		
"Panama"	1246	985	0		101	60	0.2	1	8657	0.12		
"Moldova, Republic of"	1239	749	0		44	118	0.03	8	2317	0.08		
"Georgia"	1158	-5740	0		-87	113	0.04	-2	2513	0.09		
"Angola"	1139	1138	0		61	100	0.05	-11	7692	0.06		
"Ecuador"	1134	-420	0		88	69	0.1	3	9174	0.12		
"Malawi"	1128	-11	0		-27	168	0	0	5169	0.15		
"Fiji"	1096	1066	0		37	157	0.01	-7	7384	0.12		
"Faroe Islands"	1061	741	0		233	172	0	7	1404	0.27		
"French Polynesia"	1003	998	0		28	165	0	1	13300	0.24		
"Nepal"	991	884	0		1379	96	0.06	8	1856	0.56		
"Iran, Islamic Republic of"	929	262	0		62	72	0.1	-18	5612	0.13		
"Paraguay"	921	827	0		510	92	0.06	0	7311	0.15		
"Bosnia and Herzegovina"	897	-3485	0		5	94	0.06	3	2228	0.07		
"Kyrgyzstan"	839	838	0		-43	127	0.03	1	2892	0.2		
"Niger"	824	798	0		-18	162	0	13	5715	0.09		
"Benin"	805	798	0		3733	149	0.01	-2	6481	0.07		
"Venezuela, Bolivarian Republic of"	802	84	0		650	117	0.03	-11	8121	0.16		
"Mozambique"	802	-6597	0		-84	108	0.04	8	6196	0.1		
"New Caledonia"	728	708	0		-23	155	0.01	-1	11471	0.2		
"Lebanon"	633	426	0	20	-14	97	0.06	-12	3592	0.06		
"Solomon Islands"	610	513	0		970	190	0	0	6301	0.17		
"Sri Lanka"	598	-6355	0		9	85	0.08	-3	4351	0.16		
"Central African Republic"	592	588	0		5820	199	0	7	6606	0.08		
"Palau"	572	572	0			209	0	1	6232	0.16		
"Turkmenistan"	554	554	0		-73	148	0.02	4	3495	0.15		
"Guatemala"	553	-286	0		-32	68	0.1	7	5828	0.15		
"Gambia"	530	529	0		93	167	0	7	8260	0.14		
"Lao People's Democratic Republic"	526	426	0		57	129	0.02	-1	2572	0.28		
"Zimbabwe"	522	-1378	0		605	134	0.02	7	3754	0.39		
"Bolivia, Plurinational State of"	486	248	0		41	106	0.04	-3	7978	0.11		
"Cambodia"	435	-8156	0		102	66	0.1	16	2651	0.18		
"Yemen"	364	364	0		-82	107	0.04	11	5706	0.11		
"Rwanda"	364	363	0		-44	159	0.01	17	5437	0.08		
"Micronesia, Federated States of"	310	309	0			208	0	-8	7109	0.19		
"Vanuatu"	308	308	0		47	198	0	-2	6248	0.13		
"El Salvador"	305	179	0		247	88	0.07	9	4914	0.15		
"Syrian Arab Republic"	287	113	0		77	139	0.02	-3	2496	0.27		
"Mauritius"	285	-305	0		-37	133	0.02	-2	7320	0.08		
"Jamaica"	283	-5	0		529	137	0.02	-2	6759	0.22		
"Barbados"	202	-157	0		13	161	0	0	4992	0.21		
"Marshall Islands"	185	185	0		143	91	0.06	-1	7455	0.18		
"Djibouti"	185	184	0		311	130	0.02	5	6387	0.22		
"Brunei Darussalam"	180	94	0		-20	109	0.04	26	5185	0.11		
"Haiti"	173	157	0		724	140	0.02	0	6340	0.18		
"Kiribati"	154	154	0			205	0	10	5936	0.13		
"Montenegro"	152	-367	0		-56	152	0.01	0	2382	0.08		
"Cabo Verde"	149	96	0		6	181	0	4	5196	0.21		
"Namibia"	138	-80	0		557	126	0.03	-1	3757	0.37		
"Curaçao"	137	137	0		-59	163	0	-12		0.24		
"Armenia"	128	-1225	0		-52	131	0.02	6	3323	0.15		
"Dominica"	111	109	0			185	0	8	4908	0.65		
"Mongolia"	106	90	0		14	125	0.03	8	3267	0.22		
"Gabon"	104	103	0		-61	158	0.01	-2	7114	0.11		
"Eritrea"	67	63	0		-90	203	0	-8	6303	0.14		
"Cook Islands"	64	48	0			206	0	-4	9417	0.22		
"Bermuda"	63	61	0		40	169	0	-3	8006	0.28		
"Suriname"	59	58	0		-79	173	0	1	9050	0.14		
"Falkland Islands (Malvinas)"	53	46	0			207	0	2	12325	0.46		
"Botswana"	41	-380	0		925	124	0.03	2	2968	0.52		
"Tajikistan"	35	19	0		483	142	0.02	9	2803	0.17		
"Maldives"	28	-53	0		-93	151	0.01	-3	4478	0.08		
"Burundi"	23	23	0			188	0	13	4755	0.14		
"Tonga"	20	17	0		-93	202	0	4	5771	0.16		
"Cayman Islands"	19	19	0			123	0.03	5	7522	0.35		
"Timor-Leste"	19	19	0			183	0	12	3988	0.22		
"Saint Pierre and Miquelon"	18	18	0		64	215	0	10	3489	0.45		
"Africa not elsewhere specified"	18	18	0									
"Seychelles"	18	-2109	0		29	187	0	-7	6627	0.06		
"United States Minor Outlying Islands"	17	-15	0		-88	177	0	0		0.21		
"Tuvalu"	14	14	0		-67	204	0	17	6386	0.21		
"Cuba"	14	-6824	0		-96	145	0.02	-13	7148	0.09		
"Sao Tome and Principe"	13	-10	0		-54	210	0	-3	6155	0.31		
"French Southern and Antarctic Territories"	13	-1352	0			214	0	14		0.12		
"Aruba"	9	1	0			175	0	-3	4917	0.3		
"Mauritania"	4	-4	0		-100	146	0.02	1	5817	0.07		
"Eswatini"	4	-21	0			160	0	1	1597	0.74		
"Bahamas"	4	-63	0		-100	115	0.03	-8	6248	0.19		
"Nauru"	2	-3	0		-50	211	0	18	6014	0.27		
"Lesotho"	1	1	0			164	0	-2	1590	0.78		
"Guinea-Bissau"	1	1	0			195	0	2	5802	0.16		
