Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Ecuador's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Ecuador (%)	
"Mauritius"		-362				133	0.02	-2	7320	0.08		
"Macao, China"		-713				81	0.09	15		0.17		
"Syrian Arab Republic"		-758				139	0.02	-3	2496	0.27		
"Solomon Islands"		-780				190	0	0	6301	0.17		
"Kiribati"		-2520				205	0	10	5936	0.13		
"Myanmar"		-3416				79	0.10	-1	2536	0.25		
"Seychelles"		-5260				187	0	-7	6627	0.06		
"Nauru"		-8408				211	0	18	6014	0.27		
"Sri Lanka"		-14776				85	0.08	-3	4351	0.16		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Brunei Darussalam"						109	0.04	26	5185	0.11		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Zambia"						119	0.03	-9	5447	0.14		
"Djibouti"						130	0.02	5	6387	0.22		
"Zimbabwe"						134	0.02	7	3754	0.39		
"Guinea"						135	0.02	7	9140	0.19		
"Rwanda"						159	0.01	17	5437	0.08		
"Andorra"						166	0	2	610	0.52		
"Malawi"						168	0	0	5169	0.15		
"Faroe Islands"						172	0	7	1404	0.27		
"Greenland"						180	0	6	3482	0.44		
"Timor-Leste"						183	0	12	3988	0.22		
"Free Zones"						186	0	-34		0.92		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Samoa"						197	0	-1	6816	0.13		
"Central African Republic"						199	0	7	6606	0.08		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
