Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Cyprus's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Cyprus (%)	
"El Salvador"	319	318	0	208	10533	88	0.07	9	4914	0.15		
"Mongolia"	316	315	0	-9	18	125	0.03	8	3267	0.22		
"Senegal"	307	-1587	0	12	-52	110	0.04	4	6632	0.05		
"Burundi"	259	259	0	5	31	188	0	13	4755	0.14		
"Turks and Caicos Islands"	252	252	0			193	0	-3	3491	0.74		
"Central African Republic"	239	239	0	-9	388	199	0	7	6606	0.08		
"Nepal"	224	205	0	-38	100	96	0.06	8	1856	0.56		
"Timor-Leste"	195	195	0	35	231	183	0	12	3988	0.22		
"Malawi"	194	192	0	8	2671	168	0	0	5169	0.15		
"Sierra Leone"	191	172	0	76	-78	170	0	10	8820	0.13		
"Sint Maarten (Dutch part)"	178	178	0	7	166	213	0	-7		0.43		
"Jamaica"	166	138	0	-1	-37	137	0.02	-2	6759	0.22		
"Peru"	164	-819	0	32	134	54	0.2	3	10420	0.13		
"Macao, China"	160	137	0	33	-12	81	0.09	15		0.17		
"Guyana"	157	157	0	-5	166	144	0.02	13	11175	0.21		
"Togo"	150	150	0	-3	-53	153	0.01	10	7318	0.08		
"Dominica"	142	131	0	-5	49	185	0	8	4908	0.65		
"Saint Kitts and Nevis"	139	139	0	-19	46	201	0	-12	5440	0.41		
"Brunei Darussalam"	138	138	0	14	-5	109	0.04	26	5185	0.11		
"New Caledonia"	138	138	0	36	23	155	0.01	-1	11471	0.2		
"Namibia"	124	-1919	0	-38	153	126	0.03	-1	3757	0.37		
"Saint Vincent and the Grenadines"	119	119	0	-23	-25	196	0	3	6798	0.14		
"Belarus"	115	-91	0	-42	-7	61	0.2	2	2268	0.23		
"Dominican Republic"	106	-482	0	-23	-51	67	0.1	5	6446	0.22		
"Niger"	99	99	0	-33	-90	162	0	13	5715	0.09		
"Comoros"	93	93	0	14	19	192	0	18	5731	0.22		
"Honduras"	91	-57	0	45	314	99	0.05	4	6104	0.16		
"Gabon"	88	-300	0	11	17	158	0.01	-2	7114	0.11		
"Aruba"	84	84	0	-7	1	175	0	-3	4917	0.3		
"Chad"	80	68	0	20		184	0	13	6931	0.16		
"Nicaragua"	77	-372	0	120	1825	104	0.05	4	5888	0.1		
"Vanuatu"	70	-16130	0	5	-7	198	0	-2	6248	0.13		
"Costa Rica"	64	-10	0	98	78	86	0.08	3	6987	0.22		
"Kiribati"	63	63	0		80	205	0	10	5936	0.13		
"Haiti"	59	58	0	66	-2	140	0.02	0	6340	0.18		
"Solomon Islands"	59	43	0		136	190	0	0	6301	0.17		
"Madagascar"	54	-19	0	-16	-44	138	0.02	2	7339	0.08		
"Bahamas"	54	-7050	0	-66	59	115	0.03	-8	6248	0.19		
"Guatemala"	53	40	0	30	141	68	0.1	7	5828	0.15		
"Fiji"	52	-32	0	-34	148	157	0.01	-7	7384	0.12		
"Mauritania"	52	-204	0	-40	13	146	0.02	1	5817	0.07		
"Rwanda"	47	47	0	-35	114	159	0.01	17	5437	0.08		
"Congo"	46	46	0	-38	109	154	0.01	-18	6851	0.07		
"Mali"	40	40	0	-41	264	141	0.02	9	5008	0.1		
"Cayman Islands"	39	-180741	0	-93		123	0.03	5	7522	0.35		
"Saint Lucia"	33	33	0	-19	136	171	0	-10	5321	0.23		
"Pitcairn"	29	29	0			227	0	-5		0.23		
"Gibraltar"	27	26	0	-38	-33	114	0.03	-5	2572	0.09		
"French Polynesia"	26	26	0	-20	-57	165	0	1	13300	0.24		
"Grenada"	26	26	0	4	117	191	0	-1	4157	0.2		
"Lesotho"	22	22	0		-61	164	0	-2	1590	0.78		
"Bolivia, Plurinational State of"	19	19	0	31	27	106	0.04	-3	7978	0.11		
"Djibouti"	18	18	0	-21	-100	130	0.02	5	6387	0.22		
"Cuba"	18	-25189	0	38	-22	145	0.02	-13	7148	0.09		
"Paraguay"	17	-314	0	36	467	92	0.06	0	7311	0.15		
"United States Minor Outlying Islands"	15	1	0	-5	88	177	0	0		0.21		
"Burkina Faso"	13	13	0	13	86	136	0.02	5	6109	0.05		
"Eritrea"	13	13	0	-35	-96	203	0	-8	6303	0.14		
"Faroe Islands"	11	11	0			172	0	7	1404	0.27		
"Kyrgyzstan"	10	8	0	3	-44	127	0.03	1	2892	0.2		
"Lao People's Democratic Republic"	6	2	0	-13	-14	129	0.02	-1	2572	0.28		
"Luxembourg"	3	-13246	0	-61	-100	71	0.1	3	1488	0.14		
"Guinea-Bissau"	2	2	0			195	0	2	5802	0.16		
"Northern Mariana Islands"	1	1	0			216	0	-19	3811	0.2		
"Eswatini"	1	-1	0			160	0	1	1597	0.74		
"Andorra"	1	-2	0	-30		166	0	2	610	0.52		
"Suriname"	1	-134	0	-17		173	0	1	9050	0.14		
"Cocos (Keeling) Islands"		-1				225	0	8		0.74		
"Equatorial Guinea"		-3				182	0	2	6008	0.11		
"Falkland Islands (Malvinas)"		-11				207	0	2	12325	0.46		
"Cabo Verde"		-12				181	0	4	5196	0.21		
"Palestine, State of"		-41				176	0	8	3026	0.1		
"Turkmenistan"		-93393				148	0.02	4	3495	0.15		
"Tajikistan"						142	0.02	9	2803	0.17		
"Bhutan"						178	0	15	1733	0.63		
"Greenland"						180	0	6	3482	0.44		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Samoa"						197	0	-1	6816	0.13		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Tonga"						202	0	4	5771	0.16		
"Tuvalu"						204	0	17	6386	0.21		
"Cook Islands"						206	0	-4	9417	0.22		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Nauru"						211	0	18	6014	0.27		
"Anguilla"						212	0	-5	4397	0.58		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Tokelau"						226	0	-33	11566	0.22		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
