Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Russian Federation's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Russian Federation (%)	
"El Salvador"	86714	81870	0	35	555	88	0.07	9	4914	0.15		
"Afghanistan"	81934	77212	0	-15	-47	147	0.02	-8	2990	0.12		
"Macedonia, North"	81199	-13352	0	7	143	103	0.05	8	1348	0.09		
"New Zealand"	63319	-155929	0	19	-75	56	0.2	3	11141	0.09		
"Panama"	61068	57712	0	35	60	60	0.2	1	8657	0.12		
"Mozambique"	54780	330	0	-6	-38	108	0.04	8	6196	0.1		
"Guinea"	54392	-48099	0	24	-6	135	0.02	7	9140	0.19		
"Faroe Islands"	53800	-297724	0	28	281	172	0	7	1404	0.27		
"Costa Rica"	52240	-60986	0	4	141	86	0.08	3	6987	0.22		
"Uruguay"	51114	-70495	0	14	15	95	0.06	0	9836	0.11		
"Djibouti"	49570	49570	0	18	379	130	0.02	5	6387	0.22		
"Botswana"	48936	33233	0	25	99	124	0.03	2	2968	0.52		
"Bolivia, Plurinational State of"	47209	32583	0	56	511	106	0.04	-3	7978	0.11		
"Paraguay"	46397	-800387	0	26	71	92	0.06	0	7311	0.15		
"Barbados"	38263	37264	0		24768	161	0	0	4992	0.21		
"Benin"	37592	37128	0	57	-44	149	0.01	-2	6481	0.07		
"Cambodia"	37302	-164743	0	41	414	66	0.1	16	2651	0.18		
"Burkina Faso"	37272	37217	0	3	283	136	0.02	5	6109	0.05		
"Haiti"	22267	21942	0	16	277	140	0.02	0	6340	0.18		
"Luxembourg"	21820	-156835	0	-30	73	71	0.1	3	1488	0.14		
"Iceland"	21631	2099	0	20	-50	112	0.04	-1	4251	0.05		
"Madagascar"	17876	6249	0	46	112	138	0.02	2	7339	0.08		
"Cayman Islands"	17667	17288	0	1	-16	123	0.03	5	7522	0.35		
"Nepal"	16737	14655	0	10	93	96	0.06	8	1856	0.56		
"Mauritania"	15603	13668	0	5	-57	146	0.02	1	5817	0.07		
"Somalia"	14774	14540	0	78	115	150	0.01	9	5305	0.16		
"Bahrain"	13840	-980	0	-4	51	101	0.05	1	6359	0.08		
"Andorra"	13478	13428	0	84	44	166	0	2	610	0.52		
"Gabon"	13164	-63392	0	64	132	158	0.01	-2	7114	0.11		
"British Virgin Islands"	12649	12633	0	-12	-15	156	0.01	8	7242	0.27		
"Maldives"	12520	12513	0	79	703	151	0.01	-3	4478	0.08		
"Namibia"	12035	10243	0	61	-50	126	0.03	-1	3757	0.37		
"Lao People's Democratic Republic"	9555	-1109	0	-27	6	129	0.02	-1	2572	0.28		
"Malawi"	9544	-65006	0	0	-18	168	0	0	5169	0.15		
"Eritrea"	9189	9058	0	-9	2165	203	0	-8	6303	0.14		
"Burundi"	8993	7469	0	1	100	188	0	13	4755	0.14		
"Zimbabwe"	7917	-26929	0	12	164	134	0.02	7	3754	0.39		
"South Sudan"	7748	4200	0	59	82	194	0	12		0.25		
"Palestine, State of"	7165	7097	0	21	60	176	0	8	3026	0.1		
"Liberia"	7079	1894	0	80	12	87	0.07	17	11608	0.19		
"Montenegro"	6089	-26528	0	-11	-54	152	0.01	0	2382	0.08		
"Central African Republic"	5828	5664	0	32	144	199	0	7	6606	0.08		
"Zambia"	4547	-11203	0	85	-52	119	0.03	-9	5447	0.14		
"Suriname"	3487	3457	0	7	46	173	0	1	9050	0.14		
"Mauritius"	3444	-4210	0	-19	279	133	0.02	-2	7320	0.08		
"Seychelles"	3260	3231	0	-20	-5	187	0	-7	6627	0.06		
"New Caledonia"	2667	2662	0	53	-33	155	0.01	-1	11471	0.2		
"Guyana"	2584	2343	0	19	-3	144	0.02	13	11175	0.21		
"Brunei Darussalam"	2513	2509	0	201	-96	109	0.04	26	5185	0.11		
"Trinidad and Tobago"	2346	1280	0	-77	-88	128	0.03	-1	6663	0.26		
"Chad"	2175	2164	0	8	3	184	0	13	6931	0.16		
"Sierra Leone"	1805	1168	0	17	-23	170	0	10	8820	0.13		
"Equatorial Guinea"	1577	1571	0	-16	174	182	0	2	6008	0.11		
"Niger"	1204	1047	0	63	-98	162	0	13	5715	0.09		
"Saint Vincent and the Grenadines"	1035	1035	0			196	0	3	6798	0.14		
"Jamaica"	698	-60660	0	-30	-55	137	0.02	-2	6759	0.22		
"Papua New Guinea"	544	-2593	0	-14	-37	143	0.02	-1	4973	0.17		
"French Southern and Antarctic Territories"	499	499	0			214	0	14		0.12		
"Gambia"	475	471	0	39	-96	167	0	7	8260	0.14		
"Marshall Islands"	441	-1371	0	-21	7	91	0.06	-1	7455	0.18		
"Curaçao"	423	275	0	-31	89	163	0	-12		0.24		
"United States Minor Outlying Islands"	368	45	0	-52	276	177	0	0		0.21		
"Kiribati"	327	327	0			205	0	10	5936	0.13		
"Western Sahara"	198	46	0		88	221	0	-16	12469	0.9		
"Dominica"	193	140	0	-40	326	185	0	8	4908	0.65		
"Sint Maarten (Dutch part)"	180	180	0		11242	213	0	-7		0.43		
"Aruba"	173	173	0	-43	253	175	0	-3	4917	0.3		
"Greenland"	147	-103286	0	55	2491	180	0	6	3482	0.44		
"Guinea-Bissau"	141	141	0	71	129	195	0	2	5802	0.16		
"Belize"	84	-322	0	-57	-13	179	0	1	5006	0.18		
"Bermuda"	81	47	0	-77	544	169	0	-3	8006	0.28		
"Macao, China"	37	-1070	0	59	-63	81	0.09	15		0.17		
"Comoros"	32	-89	0			192	0	18	5731	0.22		
"Antigua and Barbuda"	29	27	0			174	0	1	6334	0.27		
"Cabo Verde"	19	-5	0	-65	-99	181	0	4	5196	0.21		
"Samoa"	13	13	0	-49		197	0	-1	6816	0.13		
"Eswatini"	11	-2357	0			160	0	1	1597	0.74		
"British Indian Ocean Territory"	8	8	0	10		219	0	-9		0.67		
"Lesotho"	8	-64	0			164	0	-2	1590	0.78		
"Sao Tome and Principe"	8	-70	0	11	-28	210	0	-3	6155	0.31		
"French Polynesia"	6	1	0		-97	165	0	1	13300	0.24		
"Northern Mariana Islands"	4	1	0			216	0	-19	3811	0.2		
"Saint Kitts and Nevis"	2	-6	0	-52	60	201	0	-12	5440	0.41		
"Turks and Caicos Islands"		-1				193	0	-3	3491	0.74		
"Micronesia, Federated States of"		-1				208	0	-8	7109	0.19		
"Wallis and Futuna Islands"		-1				218	0	7	10103	0.24		
"Christmas Island"		-1				220	0	3		0.69		
"Niue"		-1				223	0	7	11410	0.48		
"Tonga"		-2				202	0	4	5771	0.16		
"Nauru"		-5				211	0	18	6014	0.27		
"Tuvalu"		-6				204	0	17	6386	0.21		
"Timor-Leste"		-7				183	0	12	3988	0.22		
"Bhutan"		-10				178	0	15	1733	0.63		
"Cocos (Keeling) Islands"		-12				225	0	8		0.74		
"Tokelau"		-14				226	0	-33	11566	0.22		
"Solomon Islands"		-22				190	0	0	6301	0.17		
"Saint Helena"		-24				217	0	6	7699	0.31		
"Vanuatu"		-30				198	0	-2	6248	0.13		
"Cook Islands"		-33				206	0	-4	9417	0.22		
"Korea, Democratic People's Republic of"		-41				200	0	-49	1470	0.87		
"Grenada"		-43				191	0	-1	4157	0.2		
"Pitcairn"		-67				227	0	-5		0.23		
"Fiji"		-144				157	0.01	-7	7384	0.12		
"Falkland Islands (Malvinas)"		-1137				207	0	2	12325	0.46		
"European Union Nes"		-109125										
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Palau"						209	0	1	6232	0.16		
"Anguilla"						212	0	-5	4397	0.58		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Norfolk Island"						222	0	1	5454	0.24		
"Montserrat"						224	0	-7		0.49		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
