Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Serbia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Serbia (%)	
"Sudan"	309	109	0	19	-22	122	0.03	-2		0.13		
"Dominican Republic"	298	-1753	0	6	-58	67	0.1	5	6446	0.22		
"Ethiopia"	297	-924	0	-24	27	90	0.07	1	6305	0.11		
"Tanzania, United Republic of"	288	-635	0	0	-51	102	0.05	7	6633	0.1		
"Liberia"	269	258	0	23	-57	87	0.07	17	11608	0.19		
"Senegal"	258	150	0	-27	-36	110	0.04	4	6632	0.05		
"Sierra Leone"	258	-314	0	41	37	170	0	10	8820	0.13		
"Belize"	207	205	0	0	943	179	0	1	5006	0.18		
"Cuba"	203	-1675	0	50	3336	145	0.02	-13	7148	0.09		
"Benin"	179	178	0	14	-4	149	0.01	-2	6481	0.07		
"Namibia"	150	87	0		343	126	0.03	-1	3757	0.37		
"Nepal"	128	58	0	26	135	96	0.06	8	1856	0.56		
"Madagascar"	128	-423	0	-13	411	138	0.02	2	7339	0.08		
"Maldives"	125	-214	0	144	40	151	0.01	-3	4478	0.08		
"Zimbabwe"	123	-2494	0	0	-24	134	0.02	7	3754	0.39		
"Chad"	122	122	0		1077	184	0	13	6931	0.16		
"Guyana"	116	109	0		265	144	0.02	13	11175	0.21		
"Jamaica"	108	100	0	71	17	137	0.02	-2	6759	0.22		
"Central African Republic"	106	79	0	68	-61	199	0	7	6606	0.08		
"Rwanda"	82	70	0	-36	1381	159	0.01	17	5437	0.08		
"Nicaragua"	70	-1399	0		-67	104	0.05	4	5888	0.1		
"Togo"	69	-532	0		48	153	0.01	10	7318	0.08		
"Malawi"	59	-105	0			168	0	0	5169	0.15		
"Lesotho"	45	-251	0			164	0	-2	1590	0.78		
"Honduras"	42	-277	0	-27	-66	99	0.05	4	6104	0.16		
"Zambia"	36	-115	0	4	-5	119	0.03	-9	5447	0.14		
"Eswatini"	23	-5	0	-34		160	0	1	1597	0.74		
"Botswana"	23	-23	0	-61	35	124	0.03	2	2968	0.52		
"Mozambique"	23	-140	0	5	-99	108	0.04	8	6196	0.1		
"Guinea"	15	-4	0	-67	-72	135	0.02	7	9140	0.19		
"Barbados"	14	1	0		-56	161	0	0	4992	0.21		
"Comoros"	11	-1	0			192	0	18	5731	0.22		
"Fiji"	5	-19	0	-38	120	157	0.01	-7	7384	0.12		
"Niger"	5	-32	0		-99	162	0	13	5715	0.09		
"Marshall Islands"	1	0	0	-39		91	0.06	-1	7455	0.18		
"Bahamas"	1	-2	0			115	0.03	-8	6248	0.19		
"Andorra"	1	-321	0	-45		166	0	2	610	0.52		
"Saint Lucia"		-1				171	0	-10	5321	0.23		
"Timor-Leste"		-1				183	0	12	3988	0.22		
"Cabo Verde"		-2				181	0	4	5196	0.21		
"Burundi"		-2				188	0	13	4755	0.14		
"Micronesia, Federated States of"		-4				208	0	-8	7109	0.19		
"Dominica"		-5				185	0	8	4908	0.65		
"Brunei Darussalam"		-7				109	0.04	26	5185	0.11		
"Eritrea"		-7				203	0	-8	6303	0.14		
"Grenada"		-13				191	0	-1	4157	0.2		
"Tuvalu"		-31				204	0	17	6386	0.21		
"Haiti"		-39				140	0.02	0	6340	0.18		
"Bhutan"		-51				178	0	15	1733	0.63		
"Venezuela, Bolivarian Republic of"		-63				117	0.03	-11	8121	0.16		
"Congo, Democratic Republic of the"		-76				111	0.04	13	6479	0.14		
"Papua New Guinea"		-380				143	0.02	-1	4973	0.17		
"Lao People's Democratic Republic"		-663				129	0.02	-1	2572	0.28		
"Area Nes"		-15954										
"Hong Kong, China"						5	3.3	3	2841	0.22		
"Taipei, Chinese"						17	1.7	8	5007	0.1		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Macao, China"						81	0.09	15		0.17		
"Gibraltar"						114	0.03	-5	2572	0.09		
