Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Netherlands's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Netherlands (%)	
"Uzbekistan"	163312	151054	0	6	10	74	0.1	16	3412	0.12		
"Tanzania, United Republic of"	161939	85385	0	15	-5	102	0.05	7	6633	0.1		
"Cuba"	160648	115539	0	-3	2	145	0.02	-13	7148	0.09		
"Georgia"	155062	107787	0	4	19	113	0.04	-2	2513	0.09		
"Macedonia, North"	153280	30529	0	4	24	103	0.05	8	1348	0.09		
"Aruba"	153047	142471	0	3	23	175	0	-3	4917	0.3		
"Sri Lanka"	147425	-220793	0	3	57	85	0.08	-3	4351	0.16		
"Mali"	145431	139171	0	-1	5	141	0.02	9	5008	0.1		
"Uganda"	141372	44307	0	20	30	132	0.02	11	5788	0.09		
"Costa Rica"	138573	-2694672	0	5	-16	86	0.08	3	6987	0.22		
"Faroe Islands"	137751	102854	0	48	73	172	0	7	1404	0.27		
"Congo, Democratic Republic of the"	129652	76328	0	-14	9	111	0.04	13	6479	0.14		
"Guatemala"	129493	-285784	0	13	33	68	0.1	7	5828	0.15		
"Uruguay"	128418	-464206	0	-4	18	95	0.06	0	9836	0.11		
"Guinea"	127336	82113	0	-26	-41	135	0.02	7	9140	0.19		
"Moldova, Republic of"	125829	94220	0	10	17	118	0.03	8	2317	0.08		
"Azerbaijan"	118019	103306	0	-7	-34	98	0.05	5	3712	0.09		
"Ethiopia"	109962	-30965	0	-9	-62	90	0.07	1	6305	0.11		
"Jamaica"	109942	81446	0	18	10	137	0.02	-2	6759	0.22		
"Bonaire, Sint Eustatius and Saba"	107254	104608	0	11	19	189	0	20		0.19		
"Mauritania"	106081	103274	0	1	31	146	0.02	1	5817	0.07		
"Burkina Faso"	102390	80984	0	10	8	136	0.02	5	6109	0.05		
"Albania"	100316	82066	0	10	12	121	0.03	6	1886	0.13		
"Yemen"	89311	82441	0	17	-4	107	0.04	11	5706	0.11		
"Mozambique"	86523	-226286	0	6	64	108	0.04	8	6196	0.1		
"Bahamas"	83951	43333	0	-23	101	115	0.03	-8	6248	0.19		
"Benin"	81979	77776	0	-2	-19	149	0.01	-2	6481	0.07		
"Saint Vincent and the Grenadines"	80172	25362	0	104	2713	196	0	3	6798	0.14		
"Honduras"	79038	-286492	0	10	102	99	0.05	4	6104	0.16		
"Sudan"	78798	71737	0	-3	-18	122	0.03	-2		0.13		
