Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Mexico's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Mexico (%)	
"Curaçao"	5863	5836	0	-34	-49	163	0	-12		0.24		
"Tunisia"	5636	-74262	0	-36	65	78	0.10	-1	3411	0.06		
"Luxembourg"	4889	-120872	0	-49	-59	71	0.1	3	1488	0.14		
"Estonia"	3728	-42996	0	-26	-34	73	0.1	6	2314	0.06		
"Kenya"	3342	1170	0	-48	-79	80	0.09	2	6680	0.08		
"Suriname"	3336	3335	0	-21	-31	173	0	1	9050	0.14		
"Uganda"	2950	2259	0	0	-72	132	0.02	11	5788	0.09		
"Saint Lucia"	2049	2034	0	-17	-20	171	0	-10	5321	0.23		
"Uzbekistan"	2034	2032	0	-19	7	74	0.1	16	3412	0.12		
"Ghana"	2003	-874	0	-26	-90	82	0.08	8	8888	0.18		
"Côte d'Ivoire"	1830	-57473	0	-21	-74	93	0.06	9	6793	0.08		
"Serbia"	1551	-59466	0	-19	-53	65	0.2	9	2497	0.06		
"Cameroon"	1548	-2689	0	-39	116	116	0.03	8	7279	0.14		
"Lebanon"	1301	435	0	-56	-74	97	0.06	-12	3592	0.06		
"Azerbaijan"	1163	1160	0	-32	-92	98	0.05	5	3712	0.09		
"Cayman Islands"	1037	1035	0	-30	-64	123	0.03	5	7522	0.35		
"Angola"	808	794	0	-45	-79	100	0.05	-11	7692	0.06		
"Antigua and Barbuda"	613	486	0	-27	-18	174	0	1	6334	0.27		
"United States Minor Outlying Islands"	516	516	0	-42	-61	177	0	0		0.21		
"Dominica"	437	331	0	-70	-42	185	0	8	4908	0.65		
"Macao, China"	431	-11609	0	-17	-74	81	0.09	15		0.17		
"Cyprus"	420	-68	0	-49	-96	105	0.05	-1	3118	0.09		
"Croatia"	392	-77212	0	-58	-95	63	0.2	6	1362	0.07		
"Lithuania"	381	-40502	0	-70	-83	59	0.2	7	1630	0.07		
"Lao People's Democratic Republic"	310	-96028	0	-25	-56	129	0.02	-1	2572	0.28		
