Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Turkey's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Turkey (%)	
"Cayman Islands"	160415	158075	0.1	36	2132	123	0.03	5	7522	0.35		
"Benin"	149702	135547	0.1	10	27	149	0.01	-2	6481	0.07		
"Marshall Islands"	149518	116816	0.1	7	-55	91	0.06	-1	7455	0.18		
"Haiti"	139936	138932	0.1	16	-15	140	0.02	0	6340	0.18		
"Area Nes"	136416	-24257562	0.1	106	56							
"Sierra Leone"	134366	126171	0.1	26	75	170	0	10	8820	0.13		
"Guatemala"	132043	115106	0.1	30	142	68	0.1	7	5828	0.15		
"New Zealand"	128003	94600	0.1	4	22	56	0.2	3	11141	0.09		
"Estonia"	126297	-103721	0.1	2	60	73	0.1	6	2314	0.06		
"Mozambique"	122538	77107	0.1	43	60	108	0.04	8	6196	0.1		
"Togo"	119523	92275	0.1	23	-16	153	0.01	10	7318	0.08		
"Uruguay"	115427	-128507	0.1	24	124	95	0.06	0	9836	0.11		
"Philippines"	112504	-45247	0	-9	11	34	0.6	2	4354	0.09		
"Montenegro"	111149	89941	0	16	8	152	0.01	0	2382	0.08		
"Costa Rica"	103723	55901	0	12	114	86	0.08	3	6987	0.22		
"Palestine, State of"	99587	88051	0	4	14	176	0	8	3026	0.1		
"Trinidad and Tobago"	96540	95455	0	14	27	128	0.03	-1	6663	0.26		
"Nepal"	96239	79662	0	16	148	96	0.06	8	1856	0.56		
"Burkina Faso"	96022	82270	0	31	45	136	0.02	5	6109	0.05		
"Gibraltar"	95694	93676	0	-11	-8	114	0.03	-5	2572	0.09		
"Sri Lanka"	93847	-5077	0	1	21	85	0.08	-3	4351	0.16		
"Mauritius"	90152	88945	0	7	21	133	0.02	-2	7320	0.08		
"Paraguay"	87541	76623	0	28	67	92	0.06	0	7311	0.15		
"Mali"	86865	32056	0	14	25	141	0.02	9	5008	0.1		
"Congo"	85306	82721	0	10	40	154	0.01	-18	6851	0.07		
"Rwanda"	78561	77760	0	16	186	159	0.01	17	5437	0.08		
"Niger"	78183	67701	0	16	33	162	0	13	5715	0.09		
"Luxembourg"	76929	-59085	0	21	-21	71	0.1	3	1488	0.14		
"Mongolia"	69687	66754	0	23	119	125	0.03	8	3267	0.22		
"Gambia"	69630	69472	0	16	11	167	0	7	8260	0.14		
"Guyana"	68508	65162	0	27	126	144	0.02	13	11175	0.21		
"Honduras"	66370	55717	0	42	64	99	0.05	4	6104	0.16		
"Madagascar"	65826	47521	0	-3	-11	138	0.02	2	7339	0.08		
"Uganda"	59610	47249	0	28	11	132	0.02	11	5788	0.09		
"Ecuador"	57881	-85795	0	6	35	69	0.1	3	9174	0.12		
"Congo, Democratic Republic of the"	53669	39344	0	20	-6	111	0.04	13	6479	0.14		
"Chad"	52956	-56708	0	28	28	184	0	13	6931	0.16		
"Gabon"	48833	24373	0	10	-5	158	0.01	-2	7114	0.11		
"Bahamas"	47843	46991	0	42	128	115	0.03	-8	6248	0.19		
"Maldives"	47451	47400	0	-6	91	151	0.01	-3	4478	0.08		
"Bolivia, Plurinational State of"	45326	-89551	0	17	107	106	0.04	-3	7978	0.11		
"El Salvador"	41922	35253	0	14	66	88	0.07	9	4914	0.15		
"Equatorial Guinea"	34117	34064	0	12	-12	182	0	2	6008	0.11		
"Iceland"	30430	3663	0	-33	62	112	0.04	-1	4251	0.05		
"Suriname"	30118	29982	0	24	36	173	0	1	9050	0.14		
"Cuba"	28854	16816	0	4	15	145	0.02	-13	7148	0.09		
"Cook Islands"	28497	27641	0	35	416	206	0	-4	9417	0.22		
"Cambodia"	26334	-37964	0	14	5	66	0.1	16	2651	0.18		
"Eritrea"	23666	23601	0	14	139	203	0	-8	6303	0.14		
"Myanmar"	21161	-24701	0	-9	-59	79	0.10	-1	2536	0.25		
"Zambia"	20094	15146	0	7	-4	119	0.03	-9	5447	0.14		
"Barbados"	17909	17867	0	36	40	161	0	0	4992	0.21		
"Nicaragua"	17392	15966	0	8	43	104	0.05	4	5888	0.1		
"Comoros"	17308	10575	0	26	22	192	0	18	5731	0.22		
"Zimbabwe"	14731	-1747	0	26	-4	134	0.02	7	3754	0.39		
"Macao, China"	14170	13659	0	154	298	81	0.09	15		0.17		
"Seychelles"	12269	-9097	0	16	-32	187	0	-7	6627	0.06		
"Cabo Verde"	10343	9428	0	20	89	181	0	4	5196	0.21		
"Guinea-Bissau"	9762	4873	0	28	18	195	0	2	5802	0.16		
"Antigua and Barbuda"	9022	9022	0	9	31	174	0	1	6334	0.27		
"Brunei Darussalam"	8701	8695	0	42	334	109	0.04	26	5185	0.11		
"Belize"	8678	5639	0	6	71	179	0	1	5006	0.18		
"New Caledonia"	8664	8663	0	6	8	155	0.01	-1	11471	0.2		
"Vanuatu"	7133	6902	0	43	132	198	0	-2	6248	0.13		
"Saint Vincent and the Grenadines"	6370	6369	0	29	-64	196	0	3	6798	0.14		
"French Polynesia"	5591	5583	0	12	-15	165	0	1	13300	0.24		
"Palau"	4891	3931	0	36	164	209	0	1	6232	0.16		
"Sao Tome and Principe"	4694	4694	0	41	79	210	0	-3	6155	0.31		
"Malawi"	4633	-17988	0	3	63	168	0	0	5169	0.15		
