Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Tunisia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Tunisia (%)	
"Norway"	18604	1559	0.1	37	-2	39	0.5	3	3470	0.06		
"Lebanon"	17484	7301	0.1	2	30	97	0.06	-12	3592	0.06		
"Oman"	17220	-15816	0.1	31	32	83	0.08	-6	5977	0.08		
"Niger"	16857	16830	0.1	17	50	162	0	13	5715	0.09		
"Albania"	16579	15761	0.1	11	98	121	0.03	6	1886	0.13		
"Singapore"	15532	-10830	0.1	-14	-29	16	1.9	3	5773	0.07		
"Congo"	15391	15353	0.1	22	30	154	0.01	-18	6851	0.07		
"Qatar"	14849	-12171	0.1	-2	-34	70	0.1	0	5745	0.06		
"Denmark"	13798	-27197	0.1	-5	32	35	0.6	5	2182	0.08		
"Iraq"	13439	13387	0.1	2	33	62	0.2	3	4107	0.18		
"Mali"	12888	12443	0.1	-5	8	141	0.02	9	5008	0.1		
"Benin"	12491	12491	0.1	7	52	149	0.01	-2	6481	0.07		
"Togo"	12410	12410	0.1	13	62	153	0.01	10	7318	0.08		
"Madagascar"	11778	11377	0.1	59	2	138	0.02	2	7339	0.08		
"Nigeria"	7673	6809	0	1	-20	53	0.2	17	7792	0.1		
"Mauritius"	6275	6239	0	46	19	133	0.02	-2	7320	0.08		
"Viet Nam"	5693	-61843	0	0	136	19	1.5	8	3535	0.19		
"Chad"	5416	5403	0	11	42	184	0	13	6931	0.16		
"Angola"	5338	4878	0	8	25	100	0.05	-11	7692	0.06		
"Pakistan"	5201	-17494	0	5	-71	47	0.3	2	4850	0.11		
"Turkmenistan"	5020	-4464	0	11		148	0.02	4	3495	0.15		
"Serbia"	4914	-48890	0	56	-25	65	0.2	9	2497	0.06		
"New Zealand"	4892	1212	0	-3	-32	56	0.2	3	11141	0.09		
"Argentina"	4668	-171735	0	0	-65	50	0.3	-5	10631	0.1		
"Kuwait"	4477	-34983	0	-9	1	76	0.1	-3	5837	0.07		
"Slovenia"	4296	-19847	0	14	11	55	0.2	10	2404	0.07		
"Croatia"	4271	-2809	0	46	-85	63	0.2	6	1362	0.07		
"Ukraine"	4226	-493753	0	-12	11	48	0.3	7	3255	0.06		
"Gambia"	4088	3663	0	5	45	167	0	7	8260	0.14		
"Syrian Arab Republic"	3873	985	0	-39	-51	139	0.02	-3	2496	0.27		
"Luxembourg"	3835	-4587	0	-34	185	71	0.1	3	1488	0.14		
"Taipei, Chinese"	3830	-120410	0	40	173	17	1.7	8	5007	0.1		
"Seychelles"	3796	-6160	0	-24	-23	187	0	-7	6627	0.06		
"Sierra Leone"	3708	3629	0	12	19	170	0	10	8820	0.13		
"Equatorial Guinea"	3553	3543	0	-4	-22	182	0	2	6008	0.11		
"Thailand"	3342	-123186	0	22	-63	23	1.2	2	4905	0.09		
"Yemen"	3209	3208	0	20	16	107	0.04	11	5706	0.11		
"Finland"	3060	-75626	0	-29	-50	44	0.4	3	2842	0.07		
"Cyprus"	3057	705	0	-32	55	105	0.05	-1	3118	0.09		
